First name,Last name,Recipient,IEEE Section,ID,Discount amount,Email Sent
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,777,1,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,778,2,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,779,3,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,780,4,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,781,5,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,782,6,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,783,7,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,784,8,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,785,9,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,786,10,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,787,11,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,788,12,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,789,13,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,790,14,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,791,15,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,792,16,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,793,17,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,794,18,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,795,19,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,796,20,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,797,21,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,798,22,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,799,23,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,800,24,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,801,25,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,802,26,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,803,27,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,804,28,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,805,29,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,806,30,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,807,31,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,808,32,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,809,33,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,810,34,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,811,35,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,812,36,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,813,37,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,814,38,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,815,39,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,816,40,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,817,41,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,818,42,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,819,43,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,820,44,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,821,45,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,822,46,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,823,47,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,824,48,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,825,49,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,826,50,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,827,51,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,828,52,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,829,53,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,830,54,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,831,55,,
Akshay,,qnqfmqoftcjajwrwnl@miucce.com,832,56,,
